Título de la canción;Vocalist;Compositor;empresa productora;Álbum
punto G;Quevedo;Pedro Domínguez Quevedo;egypt;Punto G - Single
La bachata;Manuel Turizo;Manuel Turizo, Edgar Barrera, Andres Jael Correa Rios, LUIS MIGUEL GÓMEZ CASTAÑO & Juan Diego Medina Vélez;Sony Music Latin;La Bachata - Single
Quevedo;Bizarrap,Quevedo;Gonzalo Julián Conde, Pedro Domínguez Quevedo & Santiago Alvarado;La Industria Inc;Quevedo: Bzrp Music Sessions, Vol. 52 - Single
Hey Mor;Ozuna;Andres Jael Correa, Gerald Oscar Jimenez, Juan Carlos Ozuna Rosado & Salomón Villada Hoyos;1966777 Records DK ;OzuTochi
punto 40;Rauw Alejandro,Baby Rasta;"Rauw Alejandro & Pedro G. Torruellas Brito ""Dj Playero""";Super Sangre Joven;PUNTO 40 - Single
duki;Bizarrap,Duki;Gonzalo Julián Conde, Mauro Ezequiel Lombardo & Santiago Alvarado;Suria Records;Duki: Bzrp Music Sessions, Vol. 50 - Single
APA;Mora & Quevedo;Gabriel Mora Quintero & Pedro Luis Domínguez Quevedo;Eloá Sayara;PARAÍSO
Monotonía;Shakira & Ozuna;"Shakira Mebarak ""Shakira"", Juan Carlos Ozuna Rosado (Ozuna), Kevyn ""Keityn"" Mauricio Cruz, Albert Hype, Alejandro Robledo Valencia ""Nup"", Cristian Camilo Alvarez ""Ciey"" & Sergio Robledo ""Primo""";Pingui ;Monotonía - Single
Vista Al Mar;Quevedo;Pedro Domínguez Quevedo;Sony Music Bolivia;Vista Al Mar - Single
Besos Moja2;Wisin & Yandel & ROSALÍA;Juan Luis Morera Luna, Llandel Veguilla Malavé, Victor B. Cabrera, Francisco A. Saldana, Marcos Ramírez Carrasquillo, Víctor Rafael Torres Betancourt & ROSALÍA;profile picture;La Última Misión
CAIRO;KAROL G & Ovy On the Drums;Carolina Giraldo Navarro, Daniel Echavarría & Kevyn Mauricio Cruz Moreno;Nasr City;CAIRO - Single
DESPECHÁ;ROSALÍA;ROSALÍA, Chris Jedi, Gaby Music, Noah Goldstein, Dylan Wiggins, Nino Segarra & David Rodriguez;Willie Gomez;DESPECHÁ - Single
Tití Me Preguntó;Bad Bunny;Benito Antonio Martínez Ocasio;UMLE - Latino;Un Verano Sin Ti
Mbappé;Eladio Carrión;Eladio Carrión Morales;"Kamilo Turino; ";SEN2 KBRN, VOL. 2
mariposas;Sangiovanni & Aitana;Alessandro La Cava, Stefano Tognini, Mauricio Rengifo & Andrés Torres;Universal Music Italia srL. ;mariposas - Single
LACONE;Polimá Westcoast, Quevedo & Mora;Polimá Westcoast, Quevedo & Mora;Temazo alert:;LACONE - Single
LAS 12;Ana Mena & Belinda;Ana Mena, Andrés Torres, Mauricio Rengifo & Belinda Pelegrin Schull;Sony Music Bolivia;LAS 12 - Single
CALENTÓN;Mora;Gabriel Armando Mora Quintero;2650608 Records DK;CALENTÓN - Single
LEJOS DEL CIELO;Rauw Alejandro;Rauw Alejandro;Animals Rap;SATURNO
MEMORIAS;Mora & Jhayco;Gabriel Mora Quintero & Jesús Manuel Nieves Cortez;SME Records;MICRODOSIS
Sin Señal;Quevedo & Ovy On the Drums;Pedro Domínguez Quevedo;Naifeel;Sin Señal - Single
Me Porto Bonito;Bad Bunny & Chencho Corleone;Benito Antonio Martínez Ocasio & Orlando Javier Valle Vega;Rimas Entertainment LLC;Un Verano Sin Ti
LOKERA;Rauw Alejandro, Lyanno & Brray;"Rauw Alejandro, Edgar R. Cuevas ""Lyanno"" & Bryan Garcia Quinones ""Brray""";Sony Music Bolivia;LOKERA - Single
Moscow Mule;Bad Bunny;Benito Antonio Martínez Ocasio & Mick Coogan;941526 Records DK;Un Verano Sin Ti
Ojitos Lindos;Bad Bunny ;Benito Antonio Martínez Ocasio & Liliana Margarita Saumet;Difosa;Un Verano Sin Ti
Ulala;Myke Towers & Daddy Yankee;Anthony Edward Ralph Parrilla Medina, Daddy Yankee, Juan J Santana Lug;avex entertainment Inc.;Ulala - Single
Feliz Cumpleaños Ferxxo;Feid;Salomón Villada Hoyos, Sky, Esteban Higuita Estrada, Andres David Restrepo Echevarria & Johan Esteban Espinosa Cuervo;Sony Music Bolivia;Feliz Cumpleaños Ferxxo - Single
LA INOCENTE;Mora & Feid;Gabriel Mora Quintero & Salomón Villada Hoyos;Rimas;MICRODOSIS
Si Yo Me Muero;Anuel AA;Emmanuel Gazmey Santiago;Real Hasta La Muerte, LLC;Si Yo Me Muero - Single
